Lead_ID,Lead_Name,Company_Name,Source,Region_ID,Rep_ID,Created_Date,Current_Stage,Email,Phone,Priority,Last_Updated,Deal_Source,Company_ID,Engagement_Level,Follow_Up_Threshold,Project_Term,Budget_Tier,Country,Company_Industry,Service_Category,Deal_Status_Category
LDSHF-NA-011,Shopify Lead,Shopify,Content Marketing,NA,BJ_NA,2024-04-15 19:08:45,Deal Lost,contact_44@shopify.com,-1875005435,Low,2024-06-03 15:26:46,Inbound,CMP_S,Medium,3,>24 months,20-50L,Canada,Technology,Marketing,Deal Lost
LDSCR-NA-012,Suncor Energy Lead,Suncor Energy,Webinars,NA,CL_NA,2024-03-20 21:49:18,Deal Lost,contact_2@suncorenergy.com,-743587646,Medium,2024-05-08 22:59:08,Inbound,CMP_SE,Low,10,6-12 months,20-50L,Canada,Finance,Cloud,Deal Lost
LDKPR-NA-013,Kaiser Permanente Lead,Kaiser Permanente,Instagram posts,NA,CL_NA,2025-01-26 11:03:40,Deal Lost,contact_24@kaiserpermanente.com,-8018321995,Low,2025-01-28 8:30:01,Inbound,CMP_KP,Medium,3,12-24 months,20-50L,USA,Finance,Cloud,Deal Lost
LDWLF-NA-014,Wells Fargo Lead,Wells Fargo,Retargeting Campaigns,NA,DK_NA,2025-04-11 16:41:53,Deal Lost,contact_67@wellsfargo.com,-8239329786,Medium,2025-06-10 3:34:50,Outbound,CMP_WF,High,5,0-6 months,50-100L,USA,Technology,Data,Deal Lost
LDCTC-NA-015,Canadian Tire Lead,Canadian Tire,Word of Mouth,NA,AS_NA,2023-11-04 20:15:33,Deal Won,contact_61@canadiantire.com,-9602593256,Medium,2023-11-22 19:07:46,Inbound,CMP_CT,High,7,>24 months,20-50L,Canada,Finance,Data,Deal Won
LDAMT-NA-016,American Tower Lead,American Tower,Cold Calling,NA,CL_NA,2024-12-02 15:17:20,Deal Won,contact_78@americantower.com,-9337460848,High,2025-01-20 5:50:32,Outbound,CMP_AT,High,5,0-6 months,20-50L,USA,Retail,Marketing,Deal Won
LDTHC-NA-017,Tim Hortons Lead,Tim Hortons,Facebook Ads,NA,DK_NA,2024-10-26 19:35:40,Deal Lost,contact_83@timhortons.com,-8734094508,High,2024-10-30 13:20:38,Outbound,CMP_TH,Medium,5,>24 months,100L+,Canada,Technology,Data,Deal Lost
LDLWS-NA-018,Lowe's Lead,Lowe's,LinkedIn,NA,BJ_NA,2025-02-06 04:56:35,Deal Lost,contact_27@lowes.com,-8449536406,Low,2025-02-23 14:05:47,Inbound,CMP_L,Medium,7,>24 months,100L+,USA,Finance,Cloud,Deal Lost
LDPCH-NA-019,PicnicHealth Lead,PicnicHealth,Retargeting Campaigns,NA,AS_NA,2024-03-15 21:29:56,Ongoing - Proposal Sent,contact_94@picnichealth.com,-409352091,Low,2024-04-20 9:50:32,Outbound,CMP_P,High,10,12-24 months,50-100L,USA,Technology,Data,Ongoing - Cold
LDCSI-NA-020,Credit Saison India (USA operations) Lead,Credit Saison India (USA operations),Facebook Ads,NA,CL_NA,2025-02-27 06:18:14,Ongoing - Proposal,contact_47@creditsaisonindiausaoperations.com,-6254369147,Medium,2025-04-16 0:54:02,Outbound,CMP_CSI(O,Medium,5,>24 months,100L+,USA,Technology,Cloud,Ongoing - Cold
LDTSCO-EU-021,Tesco Lead,Tesco,Lists,EU,EB_EU,2025-03-17 18:33:37,Deal Won,contact_57@tesco.com,-3505585210,Low,2025-04-21 13:15:17,Outbound,CMP_T,Medium,3,6-12 months,100L+,UK,Consulting,Engineering,Deal Won
LDLFT-EU-022,Lufthansa Group Lead,Lufthansa Group,Third-Party Lead Generation Vendors,EU,HB_EU,2025-07-27 03:09:07,Deal Lost,contact_88@lufthansagroup.com,-2326584386,High,2025-09-20 0:18:50,Outbound,CMP_LG,Medium,7,6-12 months,50-100L,Germany,Consulting,Operations,Deal Lost
LDALZ-EU-023,Allianz Direct Lead,Allianz Direct,Content Marketing,EU,FG_EU,2024-01-02 18:17:23,Deal Won,contact_91@allianzdirect.com,-2264754696,High,2024-01-07 11:24:18,Inbound,CMP_AD,High,7,>24 months,100L+,Germany,Banking,Consulting,Deal Won
LDHSBC-EU-024,HSBC Lead,HSBC,Instagram Ads,EU,HB_EU,2024-10-30 07:24:49,Deal Won,contact_4@hsbc.com,-7367892734,Medium,2024-11-27 13:19:37,Outbound,CMP_H,Medium,10,0-6 months,50-100L,UK,Pharmaceuticals,Engineering,Deal Won
LDSGE-EU-025,Sage Group Lead,Sage Group,Google,EU,GW_EU,2024-02-14 02:00:25,Ongoing - Demo Scheduled,contact_17@sagegroup.com,-1422005735,High,2024-02-28 13:30:44,Inbound,CMP_SG,High,3,0-6 months,100L+,UK,Pharmaceuticals,Operations,Ongoing - Cold
LDSNE-EU-026,Schneider Electric Lead,Schneider Electric,Instagram posts,EU,GW_EU,2025-06-01 22:52:09,Ongoing - Responded,contact_64@schneiderelectric.com,-2542094780,Low,2025-07-13 8:09:28,Inbound,CMP_SE,Low,7,>24 months,100L+,France,Consulting,Engineering,Ongoing - Cold
LDPHL-EU-027,Philips Healthcare Lead,Philips Healthcare,Google Ads,EU,GW_EU,2023-10-03 12:51:42,Deal Lost,contact_85@philipshealthcare.com,-3185792820,Low,2023-10-08 8:26:11,Outbound,CMP_PH,Medium,3,12-24 months,20-50L,Netherlands,Banking,Engineering,Deal Lost
LDVDF-EU-028,Vodafone Lead,Vodafone,LinkedIn,EU,FG_EU,2024-05-12 02:28:22,Deal Lost,contact_14@vodafone.com,-5425449678,Medium,2024-07-12 12:10:56,Inbound,CMP_V,Medium,5,6-12 months,20-50L,UK,Pharmaceuticals,Consulting,Deal Lost
LDSMN-EU-029,Siemens Lead,Siemens,Instagram Ads,EU,HB_EU,2025-05-04 07:13:25,Ongoing - Demo Scheduled,contact_45@siemens.com,-9819000156,Medium,2025-06-06 5:35:30,Outbound,CMP_S,Medium,3,>24 months,20-50L,Germany,Automotive,Consulting,Ongoing - Cold
LDNST-EU-030,Nestlé Lead,Nestlé,Instagram Ads,EU,FG_EU,2025-01-05 20:07:02,Deal Lost,contact_19@nestlé.com,-2254184759,Low,2025-01-30 3:06:52,Outbound,CMP_N,High,5,0-6 months,50-100L,Switzerland,Banking,Operations,Deal Lost
LDING-EU-031,ING Group Lead,ING Group,Pricing Page,EU,FG_EU,2024-11-23 11:11:37,Deal Won,contact_16@inggroup.com,-8389983151,Medium,2025-01-21 18:57:46,Inbound,CMP_IG,High,3,>24 months,20-50L,Netherlands,Automotive,Engineering,Deal Won
LDABB-EU-032,ABB Lead,ABB,Third-Party Lead Generation Vendors,EU,EB_EU,2023-09-16 10:44:10,Deal Lost,contact_93@abb.com,-1572969121,Medium,2023-10-03 5:08:22,Outbound,CMP_A,High,5,0-6 months,100L+,Switzerland,Consulting,Engineering,Deal Lost
LDVLV-EU-033,Volvo Group Lead,Volvo Group,Pricing Page,EU,FG_EU,2025-08-10 01:15:12,Deal Lost,contact_37@volvogroup.com,-4410944984,Low,2025-09-09 18:36:02,Inbound,CMP_VG,Low,3,6-12 months,20-50L,Sweden,Consulting,Consulting,Deal Lost
LDCFR-EU-034,Carrefour Lead,Carrefour,Google,EU,FG_EU,2024-11-22 09:31:33,Deal Lost,contact_60@carrefour.com,-1608703146,High,2024-12-20 0:21:59,Inbound,CMP_C,Low,3,>24 months,100L+,France,Consulting,Consulting,Deal Lost
LDZFG-EU-035,ZF Group Lead,ZF Group,Google Ads,EU,GW_EU,2025-04-25 05:59:10,Deal Won,contact_49@zfgroup.com,-242520442,Low,2025-05-19 20:22:28,Outbound,CMP_ZG,Low,3,>24 months,100L+,Germany,Pharmaceuticals,Operations,Deal Won
LDTRG-EU-036,Trigo Lead,Trigo,Retargeting Campaigns,EU,GW_EU,2024-09-29 21:54:37,Deal Lost,contact_5@trigo.com,-4670448859,Medium,2024-11-04 10:57:06,Outbound,CMP_T,Low,10,6-12 months,20-50L,UK,Banking,Operations,Deal Lost
LDDBS-APAC-037,DBS Bank Lead,DBS Bank,Word of Mouth,APAC,JL_APAC,2023-12-30 01:16:36,Deal Lost,contact_21@dbsbank.com,-4159090954,Low,2024-01-29 14:11:02,Inbound,CMP_DB,Low,10,12-24 months,20-50L,Singapore,Technology,T&M,Deal Lost
LDKWB-APAC-038,Kiwibank Lead,Kiwibank,Lists,APAC,LS_APAC,2025-07-10 15:58:18,Deal Won,contact_62@kiwibank.com,-3604770925,High,2025-08-30 5:28:15,Outbound,CMP_K,High,3,6-12 months,100L+,New Zealand,Manufacturing,AI,Deal Won
LDRLR-APAC-039,Reliance Retail Lead,Reliance Retail,Referrals from Existing Customers,APAC,MT_APAC,2023-09-10 01:36:24,Ongoing - Contacted,contact_23@relianceretail.com,-7607555285,Medium,2023-09-14 11:13:48,Inbound,CMP_RR,Low,7,>24 months,50-100L,India,Technology,Staffing,Ongoing - Cold
LDTCS-APAC-040,Tata Consultancy Services Lead,Tata Consultancy Services,Instagram posts,APAC,LS_APAC,2024-01-01 00:44:47,Deal Lost,contact_86@tataconsultancyservices.com,-3691016901,Low,2024-02-18 4:15:37,Inbound,CMP_TCS,Medium,5,6-12 months,50-100L,India,Finance,AI,Deal Lost
LDSFB-APAC-041,SoftBank Lead,SoftBank,Google Ads,APAC,LS_APAC,2024-10-10 13:15:25,Ongoing - Proposal Sent,contact_51@softbank.com,-6519036625,High,2024-12-06 11:09:58,Outbound,CMP_S,Medium,7,6-12 months,20-50L,Japan,Manufacturing,AI,Ongoing - Active
LDTKP-APAC-042,Tokopedia / GoTo Lead,Tokopedia / GoTo,Twitter Ads,APAC,IG_APAC,2024-09-01 05:50:59,Deal Lost,contact_74@tokopediagoto.com,-1993971740,Low,2024-09-12 12:03:00,Outbound,CMP_T/G,Medium,5,>24 months,100L+,Indonesia,E-Commerce,T&M,Deal Lost
LDTSL-APAC-043,Telstra Lead,Telstra,Contact UsDemo Request,APAC,LS_APAC,2024-09-07 05:12:46,Ongoing - Demo Scheduled,contact_94@telstra.com,-6209349175,Medium,2024-09-24 17:14:56,Inbound,CMP_T,High,3,12-24 months,100L+,Australia,E-Commerce,T&M,Ongoing - Cold
LDWSP-APAC-044,Westpac Lead,Westpac,Retargeting Campaigns,APAC,IG_APAC,2024-01-14 18:35:22,Deal Lost,contact_23@westpac.com,-280550072,Low,2024-01-16 22:22:24,Outbound,CMP_W,Low,10,6-12 months,20-50L,Australia,Technology,T&M,Deal Lost
LDINF-APAC-045,infosys Lead,infosys,Third-Party Lead Generation Vendors,APAC,JL_APAC,2024-01-28 17:06:13,Deal Lost,contact_55@infosys.com,-8395867499,High,2024-02-20 17:57:04,Outbound,CMP_I,High,3,0-6 months,50-100L,India,Manufacturing,T&M,Deal Lost
LDGRB-APAC-046,Grab Lead,Grab,Instagram Ads,APAC,KM_APAC,2025-02-21 03:20:27,Ongoing - Proposal Sent,contact_9@grab.com,-8138787944,Medium,2025-04-23 13:12:16,Outbound,CMP_G,Medium,7,12-24 months,20-50L,Singapore,Manufacturing,AI,Ongoing - Cold
LDJMR-APAC-047,JioMart Lead,JioMart,Twitter,APAC,JL_APAC,2025-01-12 23:06:55,Ongoing - Proposal,contact_10@jiomart.com,-2435585633,Medium,2025-03-05 0:31:05,Inbound,CMP_J,Low,3,0-6 months,50-100L,India,Finance,AI,Ongoing - Cold
LDTYT-APAC-048,Toyota Lead,Toyota,Cold Calling,APAC,JL_APAC,2024-06-01 08:36:59,Deal Lost,contact_83@toyota.com,-6028961661,High,2024-06-24 16:14:02,Outbound,CMP_T,Medium,3,6-12 months,50-100L,Japan,E-Commerce,Staffing,Deal Lost
LDSNY-APAC-049,Sony Lead,Sony,Facebook Ads,APAC,KM_APAC,2025-07-02 08:37:13,Deal Lost,contact_46@sony.com,-264511828,Low,2025-08-24 21:55:10,Outbound,CMP_S,Medium,7,6-12 months,100L+,Japan,Technology,Staffing,Deal Lost
LDSMS-APAC-050,Samsung Lead,Samsung,Twitter Ads,APAC,IG_APAC,2023-11-01 12:24:40,Ongoing - Demo Completed,contact_26@samsung.com,-1889203682,Low,2023-11-14 9:32:50,Outbound,CMP_S,High,7,12-24 months,20-50L,S. Korea,Finance,Staffing,Ongoing - Cold
LDSAR-ME-051,Saudi Aramco Lead,Saudi Aramco,Telemarketing,ME,NA_ME,2024-10-23 16:13:16,Ongoing - Lead Captured,contact_86@saudiaramco.com,-3988497454,Medium,2024-11-25 15:09:54,Outbound,CMP_SA,Low,5,12-24 months,50-100L,Saudi Arabia,Banking,Data,Ongoing - Cold
LDADC-ME-052,ADNOC Lead,ADNOC,Word of Mouth,ME,NA_ME,2023-12-28 15:12:11,Deal Lost,contact_58@adnoc.com,-3342338349,Low,2024-01-09 1:31:10,Inbound,CMP_A,Low,7,0-6 months,100L+,UAE,Real Estate,Data,Deal Lost
LDQTE-ME-053,QatarEnergy Lead,QatarEnergy,Instagram Ads,ME,NA_ME,2024-07-25 03:12:22,Deal Lost,contact_14@qatarenergy.com,-8113864324,Low,2024-08-18 1:21:08,Outbound,CMP_Q,Medium,5,6-12 months,20-50L,Qatar,Real Estate,Data,Deal Lost
LDINV-ME-054,Investcorp Lead,Investcorp,Instagram Ads,ME,NA_ME,2024-10-15 22:17:51,Ongoing - Demo Completed,contact_3@investcorp.com,-5583297419,High,2024-11-07 8:06:17,Outbound,CMP_I,Low,5,0-6 months,20-50L,Bahrain,Real Estate,Data,Ongoing - Cold
LDPBR-LA-055,Petrobras Lead,Petrobras,Telemarketing,LA,RA_LA,2024-08-12 15:34:14,Deal Won,contact_38@petrobras.com,-3461946984,Low,2024-09-23 5:44:17,Outbound,CMP_P,Low,5,6-12 months,100L+,Brazil,Energy,Logistics,Deal Won
LDAMX-LA-056,América Móvil Lead,América Móvil,Facebook Ads,LA,QH_LA,2024-02-21 22:12:40,Ongoing - Proposal Sent,contact_49@américamóvil.com,-5121255458,Low,2024-03-14 23:01:54,Outbound,CMP_AM,Low,5,6-12 months,100L+,Mexico,Agriculture,Logistics,Ongoing - Active
LDMCL-LA-057,MercadoLibre Lead,MercadoLibre,Lists,LA,QH_LA,2025-06-07 09:13:10,Deal Lost,contact_3@mercadolibre.com,-4007654497,Low,2025-07-05 22:54:26,Outbound,CMP_M,High,3,0-6 months,50-100L,Argentina,Energy,Logistics,Deal Lost
LDCDL-LA-058,Codelco Lead,Codelco,Telemarketing,LA,QH_LA,2025-05-07 12:15:46,Deal Lost,contact_30@codelco.com,-9151405286,High,2025-06-28 4:01:48,Outbound,CMP_C,Low,7,12-24 months,100L+,Chile,Energy,Operations,Deal Lost
LDECP-LA-059,Ecopetrol Lead,Ecopetrol,Referrals from Existing Customers,LA,QH_LA,2024-09-19 08:56:58,Deal Lost,contact_23@ecopetrol.com,-7207403713,High,2024-10-25 17:48:23,Inbound,CMP_E,Low,5,>24 months,50-100L,Colombia,Manufacturing,Logistics,Deal Lost
LDLTM-LA-060,Latam Airlines Lead,Latam Airlines,Third-Party Lead Generation Vendors,LA,PY_LA,2025-01-09 00:13:28,Deal Lost,contact_26@latamairlines.com,-1383861356,High,2025-03-03 20:29:02,Outbound,CMP_LA,Low,5,>24 months,100L+,Chile,Manufacturing,Operations,Deal Lost
LDNTR-LA-061,Natura Lead,Natura,Lists,LA,QH_LA,2024-02-05 17:43:34,Deal Won,contact_10@natura.com,-3569590372,Low,2024-03-22 4:14:50,Outbound,CMP_N,High,10,>24 months,100L+,Brazil,Energy,Logistics,Deal Won
LDITU-LA-062,Itau Unibanco Lead,Itau Unibanco,Google,LA,RA_LA,2024-10-20 20:54:28,Deal Lost,contact_93@itauunibanco.com,-609996429,Low,2024-12-01 16:48:39,Inbound,CMP_IU,High,7,12-24 months,100L+,Brazil,Agriculture,Logistics,Deal Lost
LDBCL-LA-063,Bancolombia Lead,Bancolombia,Facebook,LA,RA_LA,2024-11-27 20:35:11,Deal Lost,contact_46@bancolombia.com,-6177876910,Low,2025-01-12 19:00:21,Inbound,CMP_B,Medium,3,0-6 months,20-50L,Colombia,Manufacturing,Logistics,Deal Lost
LDGPM-LA-064,Grupo Mexico Lead,Grupo Mexico,Google,LA,PY_LA,2024-04-21 00:19:26,Deal Lost,contact_79@grupomexico.com,-1489584313,Medium,2024-05-20 12:12:42,Inbound,CMP_GM,High,7,6-12 months,50-100L,Mexico,Energy,Operations,Deal Lost
LDMTN-AF-065,MTN Group Lead,MTN Group,Telemarketing,AF,SW_AF,2025-02-15 01:19:12,Deal Lost,contact_23@mtngroup.com,-7172264492,Medium,2025-02-27 15:36:04,Outbound,CMP_MG,Medium,3,>24 months,20-50L,S. Africa,Finance,Staffing,Deal Lost
LDSAL-AF-066,Sasol Lead,Sasol,Google,AF,SW_AF,2024-07-25 16:23:21,Deal Lost,contact_90@sasol.com,-3310633114,Medium,2024-09-04 7:19:31,Inbound,CMP_S,High,7,12-24 months,50-100L,S. Africa,Mining,Staffing,Deal Lost
LDSBG-AF-067,Standard Bank Group Lead,Standard Bank Group,Contact UsDemo Request,AF,TB_AF,2024-03-03 12:36:19,Deal Won,contact_13@standardbankgroup.com,-6671584530,High,2024-04-20 20:26:02,Inbound,CMP_SBG,Low,10,0-6 months,100L+,S. Africa,Mining,Service,Deal Won
LDVDC-AF-068,Vodacom Lead,Vodacom,Telemarketing,AF,TB_AF,2025-06-13 20:56:50,Ongoing - Responded,contact_43@vodacom.com,-3921430505,High,2025-07-11 3:32:37,Outbound,CMP_V,Medium,10,12-24 months,100L+,S. Africa,Mining,Staffing,Ongoing - Cold
LDSFC-AF-069,Safaricom Lead,Safaricom,Cold Email Campaigns,AF,TB_AF,2024-01-31 12:17:25,Deal Lost,contact_2@safaricom.com,-5543080000,High,2024-03-01 0:38:23,Outbound,CMP_S,Low,7,6-12 months,100L+,Kenya,Finance,Staffing,Deal Lost
LDKCB-AF-070,KCB Group Lead,KCB Group,Contact UsDemo Request,AF,TB_AF,2025-08-15 14:51:50,Deal Won,contact_18@kcbgroup.com,-8757629333,Low,2025-08-18 3:48:47,Inbound,CMP_KG,Medium,10,>24 months,50-100L,Kenya,Finance,Staffing,Deal Won
LDATJ-AF-071,Attijariwafa Bank Lead,Attijariwafa Bank,Lists,AF,TB_AF,2024-11-12 05:45:15,Deal Lost,contact_21@attijariwafabank.com,-16623778,High,2025-01-01 4:25:31,Outbound,CMP_AB,Medium,10,0-6 months,100L+,Morocco,Finance,Service,Deal Lost
LDFRD-AF-072,FirstRand Lead,FirstRand,Telemarketing,AF,SW_AF,2024-03-02 21:36:29,Deal Lost,contact_44@firstrand.com,-4572789332,High,2024-04-28 13:30:27,Outbound,CMP_F,High,7,6-12 months,50-100L,S. Africa,Finance,Service,Deal Lost
LDABG-AF-073,Absa Group Lead,Absa Group,LinkedIn Ads,AF,TB_AF,2025-08-18 22:14:05,Ongoing - Qualified,contact_45@absagroup.com,-7164122818,High,2025-10-05 3:44:54,Outbound,CMP_AG,High,10,0-6 months,20-50L,S. Africa,Telecommunications,Service,Ongoing - Active
LDNDB-AF-074,Nedbank Group Lead,Nedbank Group,Referrals from Existing Customers,AF,TB_AF,2024-12-08 17:19:02,Deal Lost,contact_49@nedbankgroup.com,-2086195933,High,2025-02-07 22:37:50,Inbound,CMP_NG,High,3,>24 months,20-50L,S. Africa,Mining,Staffing,Deal Lost
LDEGH-AF-075,Equity Group Holdings Lead,Equity Group Holdings,Referrals from Existing Customers,AF,SW_AF,2025-04-21 15:55:05,Deal Won,contact_100@equitygroupholdings.com,-9667496362,Low,2025-05-12 15:21:34,Inbound,CMP_EGH,Low,10,0-6 months,20-50L,Kenya,Mining,Staffing,Deal Won
LDTLK-AF-076,Telkom Lead,Telkom,Cold Email Campaigns,AF,SW_AF,2024-04-27 00:08:59,Deal Lost,contact_3@telkom.com,-2372063694,High,2024-05-15 10:06:30,Outbound,CMP_T,Low,5,6-12 months,20-50L,S. Africa,Finance,Service,Deal Lost
LDINF-APAC-077,Infosys Lead,Infosys,LinkedIn Ads,APAC,LS_APAC,2025-02-15 11:00:17,Deal Won,contact_7@infosys.com,-829970723,Medium,2025-03-02 11:33:04,Outbound,CMP_I,Low,3,0-6 months,100L+,India,Manufacturing,AI,Deal Won
LDWIP-APAC-078,Wipro Lead,Wipro,Contact UsDemo Request,APAC,KM_APAC,2024-03-03 06:28:47,Ongoing - Proposal,contact_76@wipro.com,-2689618995,Medium,2024-03-24 20:17:05,Inbound,CMP_W,Medium,5,0-6 months,50-100L,India,E-Commerce,AI,Ongoing - Cold
LDHCL-APAC-079,HCL Technologies Lead,HCL Technologies,Telemarketing,APAC,LS_APAC,2024-11-29 06:28:08,Deal Lost,contact_14@hcltechnologies.com,-308331480,High,2025-01-09 15:28:00,Outbound,CMP_HT,High,3,0-6 months,50-100L,India,E-Commerce,AI,Deal Lost
LDTMH-APAC-080,Tech Mahindra Lead,Tech Mahindra,Google,APAC,MT_APAC,2025-06-21 19:35:38,Deal Lost,contact_46@techmahindra.com,-9997577513,Low,2025-07-02 11:32:13,Inbound,CMP_TM,Medium,3,12-24 months,50-100L,India,Manufacturing,Staffing,Deal Lost
LDLTI-APAC-081,Larsen & Toubro Infotech Lead,Larsen & Toubro Infotech,Cold Email Campaigns,APAC,JL_APAC,2024-04-12 23:14:23,Ongoing - Negotiation,contact_31@larsentoubroinfotech.com,-92282514,Medium,2024-04-15 7:15:08,Outbound,CMP_L&TI,High,7,12-24 months,100L+,India,Finance,AI,Ongoing - Cold
LDMNT-APAC-082,Mindtree Lead,Mindtree,Telemarketing,APAC,JL_APAC,2024-03-25 01:54:21,Deal Lost,contact_82@mindtree.com,-8160956009,Low,2024-04-10 5:07:05,Outbound,CMP_M,Medium,7,0-6 months,20-50L,India,E-Commerce,Staffing,Deal Lost
LDMPH-APAC-083,Mphasis Lead,Mphasis,Instagram Ads,APAC,KM_APAC,2025-04-11 03:21:52,Deal Lost,contact_72@mphasis.com,-4748612376,High,2025-05-21 3:46:11,Outbound,CMP_M,High,3,12-24 months,20-50L,India,Manufacturing,T&M,Deal Lost
LDLTTS-APAC-084,L&T Technology Services Lead,L&T Technology Services,Content Marketing,APAC,IG_APAC,2025-01-03 03:02:36,Ongoing - Qualified,contact_83@lttechnologyservices.com,-6155488067,Low,2025-02-11 22:13:32,Inbound,CMP_LTS,Low,3,12-24 months,50-100L,India,Finance,T&M,Ongoing - Cold
LDPST-APAC-085,Persistent Systems Lead,Persistent Systems,Retargeting Campaigns,APAC,LS_APAC,2024-06-28 11:31:56,Ongoing - Proposal,contact_58@persistentsystems.com,-6871021312,High,2024-07-08 8:28:36,Outbound,CMP_PS,Low,10,0-6 months,50-100L,India,E-Commerce,Staffing,Ongoing - Cold
LDCFG-APAC-086,Coforge Lead,Coforge,Facebook,APAC,LS_APAC,2025-03-05 00:51:12,Deal Won,contact_43@coforge.com,-5828118188,Medium,2025-04-14 2:21:16,Inbound,CMP_C,High,3,12-24 months,20-50L,India,Technology,T&M,Deal Won
LDZNR-APAC-087,Zensar Technologies Lead,Zensar Technologies,Facebook Ads,APAC,IG_APAC,2024-01-23 14:53:31,Deal Lost,contact_10@zensartechnologies.com,-3312718015,High,2024-02-24 5:20:26,Outbound,CMP_ZT,Low,10,12-24 months,20-50L,India,Manufacturing,T&M,Deal Lost
LDFRS-APAC-088,Firstsource Solutions Lead,Firstsource Solutions,LinkedIn,APAC,KM_APAC,2025-01-26 05:37:08,Deal Lost,contact_35@firstsourcesolutions.com,-4573257912,High,2025-03-28 12:04:33,Inbound,CMP_FS,Medium,5,6-12 months,50-100L,India,Technology,Staffing,Deal Lost
LDEXL-APAC-089,ExlService Holdings Lead,ExlService Holdings,Cold Calling,APAC,IG_APAC,2023-09-16 08:02:07,Deal Lost,contact_64@exlserviceholdings.com,-5100729454,Low,2023-10-29 22:58:30,Outbound,CMP_EH,Medium,3,0-6 months,50-100L,India,E-Commerce,AI,Deal Lost
LDGPI-APAC-090,Genus Power Infrastructures Lead,Genus Power Infrastructures,Twitter Ads,APAC,IG_APAC,2025-02-09 18:30:55,Deal Won,contact_14@genuspowerinfrastructures.com,-51112900,High,2025-03-06 9:48:18,Outbound,CMP_GPI,Low,7,6-12 months,100L+,India,Finance,Staffing,Deal Won
LDCYI-APAC-091,Cyient Lead,Cyient,Webinars,APAC,JL_APAC,2025-03-14 05:17:10,Ongoing - Demo Completed,contact_55@cyient.com,-7933785887,High,2025-04-06 0:56:36,Inbound,CMP_C,Low,5,0-6 months,100L+,India,Manufacturing,Staffing,Ongoing - Cold
